entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
Early,EP−H,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,EP−H,Past100,PS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−H,Past100,PS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−H,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−H,Past100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−H,Past100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−R,Current100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Early,EP−R,Current100,NS,new_nll,0.0,0.0,0.0,2000,100,1000,0,0,NLL,True,0
Early,EP−R,Current100,NS,true_nll,0.0,0.0,0.0,2000,100,1000,0,0,NLL,True,0
Early,EP−R,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,EP−R,Current100,PS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−R,Current100,PS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−R,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−R,Current100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−R,Current100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−R,Fixed100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Early,EP−R,Fixed100,NS,new_nll,0.0,0.0,0.0,2000,100,1000,0,0,NLL,True,0
Early,EP−R,Fixed100,NS,true_nll,0.0,0.0,0.0,2000,100,1000,0,0,NLL,True,0
Early,EP−R,Fixed100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,EP−R,Fixed100,PS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−R,Fixed100,PS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−R,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−R,Fixed100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−R,Fixed100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−R,Past100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Early,EP−R,Past100,NS,new_nll,0.0,0.0,0.0,2000,100,1000,0,0,NLL,True,0
Early,EP−R,Past100,NS,true_nll,0.0,0.0,0.0,2000,100,1000,0,0,NLL,True,0
Early,EP−R,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,EP−R,Past100,PS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−R,Past100,PS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
Early,EP−R,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,EP−R,Past100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,EP−R,Past100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
Early,H−N,Current100,NS,success,0.2,0.0,0.5,2000,100,1000,0,2,pp,True,0
Early,H−N,Current100,NS,new_nll,0.0117139575551264,0.006601828990189824,0.01806110775856068,2000,100,1000,0,2,NLL,True,0
Early,H−N,Current100,NS,true_nll,-0.0055511449933983385,-0.01127310319924727,-0.0008851100688450994,2000,100,1000,0,2,NLL,True,0
Early,H−N,Current100,PS,success,0.5,0.0,1.5,2000,100,200,0,1,pp,True,0
Early,H−N,Current100,PS,new_nll,-0.003035206757776905,-0.02190388298282778,0.013843430100758248,2000,100,200,0,1,NLL,True,0
Early,H−N,Current100,PS,true_nll,0.07826238274574279,0.024709095895290373,0.1522211339771747,2000,100,200,0,1,NLL,True,0
Early,H−N,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,H−N,Current100,RS,new_nll,-0.00040190721199905965,-0.0006033267564034759,-0.00025252431515764364,2000,100,100,0,0,NLL,True,0
Early,H−N,Current100,RS,true_nll,0.2885897731781006,0.1902797863483429,0.41588195133209205,2000,100,100,0,0,NLL,True,0
Early,H−N,Fixed100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Early,H−N,Fixed100,NS,new_nll,0.004124072728678583,0.0023780021093320097,0.006139327758131549,2000,100,1000,0,0,NLL,True,0
Early,H−N,Fixed100,NS,true_nll,-0.0025762903882423417,-0.005201324072579156,-5.053027097892598e-05,2000,100,1000,0,0,NLL,True,0
Early,H−N,Fixed100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Early,H−N,Fixed100,PS,new_nll,-0.0011881820601411163,-0.0029215343591349665,0.00016461624293878977,2000,100,200,0,0,NLL,True,0
Early,H−N,Fixed100,PS,true_nll,0.00242613285779953,0.001077403336763382,0.0038024362549185747,2000,100,200,0,0,NLL,True,0
Early,H−N,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Early,H−N,Fixed100,RS,new_nll,6.486479207524099e-05,-0.0003989699498379196,0.0006095118806333631,2000,100,100,0,0,NLL,True,0
