model,method,batch_index,request_sha256,case_identity_sha256,q_pre_L4,q_pre_L5,q_pre_L6,q_pre_L7,q_pre_L8,q_post_L8,q_L8_gt_0_2,d_parallel,d_perp,recurrence_closure_relative_error,target_new_nll,target_true_nll,target_new_strict,target_true_strict,target_new_margin,target_true_margin
llama3-8b-inst,memit,1,285a3add6f31d8546b0d76689a016bc0f9f7d8e58c95f54e87bba48ad5cabc65,b07d1e8ccfa4286697a0d72458a3c8fb7709522ee72275f78ced12d58814204e,1.0,0.9643372860417494,0.9203885034301617,0.8368011125536629,0.6696360341251665,0.2824281230932241,1,0.35087870936877985,0.3807165162730265,3.3621197135999676e-18,0.013693912886083126,11.704619407653809,1,0,5.32691764831543,-11.690925598144531
llama3-8b-inst,memit,1,6abbaf2496b409f11036390da3b47c9272a243b8a164ca3d9f9a65fafbec985d,7f56f9f521fd3935238169b42dc54927ce50a68da30fbce006e4ecf2fd005b3a,1.0,0.9666286546343942,0.9260721774186873,0.8537667797735852,0.6855370549935096,0.30481906694762917,1,0.3441040413830876,0.4170273922894831,4.163224891843543e-18,0.0028152139857411385,13.376053810119629,1,0,7.876461029052734,-13.373238563537598
llama3-8b-inst,memit,1,9e6706cd1a722d31b1dbfa3eba84ea86ef6cdb2c3c17d63b21f5cc7e76ef6e7d,2c2b7ce2a76ebc953dca7897725f49e6e1a9804792ef817ead1abc93bf9aa24b,1.0,0.9353051082937168,0.8789140369246562,0.798475683339425,0.6771222165219603,0.2697173630935637,1,0.28625966149715065,0.47121761184010313,4.7384096979819615e-18,0.002681709360331297,18.917709350585938,1,0,6.854541778564453,-18.915027618408203
llama3-8b-inst,memit,1,90537afae22e47988418137733b2bba6fe78ac3f2cf3e8a710430cb784b35dc9,8763aae244983b8b8bfbbcec4fe5fd5ea94de1733c524f65543e8e19920bc3f0,1.0,0.9329751906151931,0.8457240914563399,0.7384597247458786,0.5643181094581418,0.22130598676716653,1,0.2416444126304401,0.35129067943047637,4.563911784658552e-18,0.0017823775997385383,7.320903778076172,1,0,7.319121360778809,-7.319121360778809
llama3-8b-inst,memit,1,a77982960263f0dfb48efd2b8425a460b3d20430fb61ce562f7e2ffbbd3561fd,5427127116040f865211720356829a4febe284244be730abebc63cb5e3719d1a,1.0,1.0149712291580035,0.9559930101259146,0.8646098415491901,0.7028543524472045,0.3306377558669956,1,0.3316555408474718,0.4597245116808134,5.101110312888425e-18,0.003508960595354438,17.250736236572266,1,0,7.098371505737305,-17.24722671508789
llama3-8b-inst,memit,1,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,073d1f6778b0b3c36978088e4320d5fa984919ee1851139b8dd9a00d0417fe4b,1.0,0.9218320930532297,0.8443126102613642,0.7329594563257076,0.5692178545381661,0.20996682243057183,1,0.23927191235465478,0.36200711725229684,4.324711997790096e-18,0.0026286831125617027,11.592987060546875,1,0,6.69297981262207,-11.59035873413086
llama3-8b-inst,memit,1,042d6957cbf51889a68f9ec05692ae02395bbfb258ab0b145b56d98b06844fc8,9cb63f54fc0ea5c805a3da1fb79959d3a24c8ed190a32b1854313256bf3afc82,1.0,0.9731189979862436,0.9347580062689033,0.8614712919822248,0.7173246468310629,0.36141490844969937,1,0.3501306639455324,0.46033781241405514,4.6709422877643286e-18,0.025612695142626762,10.553265571594238,1,0,4.028923034667969,-10.527652740478516
llama3-8b-inst,memit,1,05dcb1cec09134d2efacd122ce09e701a8db7624e92b7aacd3194a7f4fdb415c,6f968aabd4225a6b6e98a3eaf0f4b3afd6c91fe5b4d3e7632a436a013a60fad0,1.0,0.9265933425388739,0.8500647379424628,0.7460551518469154,0.5734821257723017,0.21887617753887242,1,0.2672651949481092,0.33248306147896406,4.234204688105501e-18,0.000327652640407905,18.855037689208984,1,0,9.875506401062012,-18.85470962524414
llama3-8b-inst,memit,1,db99bc188dd5a31df5e5c30a1acc5379a51ae45dff15346ebc2be90a1d016ffb,5f868b0eb49bb6095b5f4297ff25c53a23ff9666b9b9332c5a984549e03f5a81,1.0,0.933847263723907,0.8600533147482465,0.7588294412348812,0.6201124807358357,0.2420578031684526,1,0.2904095783001596,0.37952329872593177,3.3390746826657222e-18,0.061853207647800446,4.801164627075195,1,0,4.672234535217285,-4.739311218261719
llama3-8b-inst,memit,1,4042d278f9a0433f41f891fcbc391eee910a5adfea1cc73f3792d75698ffdd46,5320bd2ede321ce20b1ec0d2665e9ed2e211e42c69186e5ef8d51f86afa079ba,1.0,0.922133585477892,0.8361936856437394,0.7208627770688834,0.5394817012393051,0.20840492571415398,1,0.21986178428051886,0.3387574177384676,4.896937076791825e-18,0.0012261499650776386,10.254859924316406,1,0,8.61545181274414,-10.253633499145508
