V_after,V_before,V_ratio,W_sha256,alias,arm,batch,best_single_layer,finite_step_dissipation_defect,joint_minus_l8_improvement,joint_objective_improvement,l8_objective_improvement,l8_shadow_native_cosine,l8_shadow_status,materialization_discrepancy_normalized,model_error_normalized,model_error_raw_activation,node,qN_ref
0.13174816040954387,0.5000000016387333,0.2634963199554874,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,8,0.0001258987845960402,0.0003041887889267403,0.48803355601303683,0.4877293672241101,0.9995310899142232,FINITE,5.216526529692448e-06,0.002143282835327435,0.09744310794845715,0,840.2151080599574
0.034750364019639726,0.13174816040954387,0.06950072781149315,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,8,1.6721492593727016e-05,7.180461887770773e-05,0.12849181927971387,0.12842001466083616,0.9996004914279175,FINITE,5.216526529692448e-06,0.0005259157171082385,0.023942096626317588,1,840.2151080599574
0.009176219886358621,0.034750364019639726,0.018352439712567736,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,8,2.236621024345742e-06,1.7578814217517058e-05,0.033866040128053394,0.03384846131383588,0.9996474549773487,FINITE,5.216526529692448e-06,0.0001320309308923248,0.0060209063154978,2,840.2151080599574
0.0024258209049498585,0.009176219886358621,0.004851641793998623,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,8,3.076452815744396e-07,4.509413581174279e-06,0.008936488223956806,0.008931978810375631,0.9996680511159958,FINITE,5.216526529692448e-06,3.466374089373433e-05,0.0015832152543321495,3,840.2151080599574
0.13197700661568584,0.5000000284621029,0.26395399820599996,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,8,5.2880585608594544e-05,0.00030129369387299487,0.48750166379720833,0.48720037010333533,0.9995770758351006,FINITE,2.1452998260062986e-06,0.0020447040790855927,0.09375399729871632,0,950.3106328584955
0.034872559506705085,0.13197700661568584,0.06974511504322489,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,8,3.969326437792964e-06,7.538552584462899e-05,0.12859071714272538,0.12851533161688075,0.999598291471413,FINITE,2.1452998260062986e-06,0.0005133914583860021,0.023561981712807285,1,950.3106328584955
0.009225787509455099,0.034872559506705085,0.018451573968569005,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,8,1.4655705274715936e-07,1.9412364847461172e-05,0.03395519234107542,0.03393577997622796,0.9996190101988991,FINITE,2.1452998260062986e-06,0.00013141869320388853,0.006033612128925923,2,950.3106328584955
0.002443922518334667,0.009225787509455099,0.004887844758432653,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,8,-3.6895855121989174e-08,5.1357673864320386e-06,0.008977203512791625,0.008972067745405193,0.9996293595655502,FINITE,2.1452998260062986e-06,3.4491892227739755e-05,0.0015834932733536664,3,950.3106328584955
0.13236335431585922,0.5000000937091397,0.2647266590171035,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,8,9.742932068318444e-05,0.00032502911357457087,0.4869310320969666,0.486606002983392,0.9995533845397057,FINITE,2.0304019065759663e-06,0.002012635188136509,0.09545280647800594,0,1060.4852141373892
0.03510842434526953,0.13236335431585922,0.07021683553062055,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,8,1.0719424950025869e-05,7.808170776824053e-05,0.12875152316749952,0.12867344145973128,0.9996115037983029,FINITE,2.0304019065759663e-06,0.0005022506096349196,0.023824092751339013,1,1060.4852141373892
0.009336042887297386,0.03510842434526953,0.01867208227510524,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,8,1.1905253052106601e-06,1.9703451328435817e-05,0.03410487976967565,0.03408517631834721,0.9996418605189392,FINITE,2.0304019065759663e-06,0.0001293418260319409,0.006134623496228336,2,1060.4852141373892
0.002490331259062519,0.009336042887297386,0.004980661584658014,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,8,1.273205262348337e-07,5.180799739486902e-06,0.009055295887486114,0.009050115087746627,0.9996530537738294,FINITE,2.0304019065759663e-06,3.456258408612571e-05,0.0016381306294166091,3,1060.4852141373892
