W_sha256,actual_step_norm_sum,actual_step_squared_sum,alias,arm,batch,cross_batch_net_displacement,endpoint_DeltaW_norm,endpoint_DeltaW_squared,endpoint_energy_share,endpoint_native_net_raw,integral_L2_velocity_action,integral_frobenius_velocity_norm,integral_frobenius_velocity_squared,integral_history_velocity_action,integral_normalized_native_velocity_action,integral_normalized_native_velocity_action_share,integral_raw_native_velocity_action,integral_raw_native_velocity_action_share,layer,signed_predicted_target_progress,velocity_trajectory_status
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,,,llama3-8b-inst,O_NATIVE,1,NOT_INFERRED_FROM_BATCH_NORMS,2.98738610107609,8.924475716902604,0.09090672149581748,8.924475716902604,,,,,,,,,4,,NOT_RECORDED_OFFICIAL_ONE_PASS
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,,,llama3-8b-inst,O_NATIVE,1,NOT_INFERRED_FROM_BATCH_NORMS,3.097180518495398,9.592527164147423,0.09771164413620761,9.592527164147423,,,,,,,,,5,,NOT_RECORDED_OFFICIAL_ONE_PASS
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,,,llama3-8b-inst,O_NATIVE,1,NOT_INFERRED_FROM_BATCH_NORMS,3.623291902045085,13.12824420742549,0.13372725499529,13.12824420742549,,,,,,,,,6,,NOT_RECORDED_OFFICIAL_ONE_PASS
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,,,llama3-8b-inst,O_NATIVE,1,NOT_INFERRED_FROM_BATCH_NORMS,4.759758168272855,22.65529782044016,0.23077197077996495,22.65529782044016,,,,,,,,,7,,NOT_RECORDED_OFFICIAL_ONE_PASS
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,,,llama3-8b-inst,O_NATIVE,1,NOT_INFERRED_FROM_BATCH_NORMS,6.623537323969705,43.871246682019766,0.44688240859272,43.871246682019766,,,,,,,,,8,,NOT_RECORDED_OFFICIAL_ONE_PASS
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,,,llama3-8b-inst,O_NATIVE,2,NOT_INFERRED_FROM_BATCH_NORMS,3.2591952929119032,10.622353957339108,0.09105402443645882,10.67755780776805,,,,,,,,,4,,NOT_RECORDED_OFFICIAL_ONE_PASS
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,,,llama3-8b-inst,O_NATIVE,2,NOT_INFERRED_FROM_BATCH_NORMS,3.3926194459451633,11.509866705005267,0.09866171739587386,11.56615967784809,,,,,,,,,5,,NOT_RECORDED_OFFICIAL_ONE_PASS
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,,,llama3-8b-inst,O_NATIVE,2,NOT_INFERRED_FROM_BATCH_NORMS,3.986368212872176,15.891131528597706,0.13621759210237963,15.971354729063252,,,,,,,,,6,,NOT_RECORDED_OFFICIAL_ONE_PASS
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,,,llama3-8b-inst,O_NATIVE,2,NOT_INFERRED_FROM_BATCH_NORMS,5.212784491299051,27.173122152727906,0.23292597275954058,27.344370209196946,,,,,,,,,7,,NOT_RECORDED_OFFICIAL_ONE_PASS
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,,,llama3-8b-inst,O_NATIVE,2,NOT_INFERRED_FROM_BATCH_NORMS,7.173801777171017,51.463431938142044,0.4411406933057471,51.81040269986825,,,,,,,,,8,,NOT_RECORDED_OFFICIAL_ONE_PASS
