M_entry,W_entry,W_sha256,alias,arm,batch,committed_M_content_sha256,evaluator_count,fixed_z_recompute_count,fixed_z_sha256,history_append_count,model_forward_count,writer_recompute_count
1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,llama3-8b-inst,O_NATIVE,1,dcf00d9a6d30eca4425feadd4fd60936912f5bd01f5d6b609142d3148c3151e0,0,0,b77e88c4561b906475d6ad9c6fc47323e8490b1cf7c37b4f2fc76c665e33c011,1,0,0
dcf00d9a6d30eca4425feadd4fd60936912f5bd01f5d6b609142d3148c3151e0,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,llama3-8b-inst,O_NATIVE,2,500958f9082979c380578ab3c6db10ab681df6c98b43a60c72b2bf8f8c47d33c,0,0,86d96d503dbc08eb72ff875a43df20402770b9b7468c26ab1dc34df24a7a992b,1,0,0
500958f9082979c380578ab3c6db10ab681df6c98b43a60c72b2bf8f8c47d33c,50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,062810781662927457e8d745d6ea0b37011e801576c221118ec1585d906d3f62,llama3-8b-inst,O_NATIVE,3,df6dca69b049dd19c6ca71fa20f78d9d3c501dc3fcf1d9dd6e99f1791cc57b95,0,0,efb7fad81ccc8607c1eabfd338fd216bbe3d32bcdcb5f5a4337bc923a9d6b3f2,1,0,0
df6dca69b049dd19c6ca71fa20f78d9d3c501dc3fcf1d9dd6e99f1791cc57b95,062810781662927457e8d745d6ea0b37011e801576c221118ec1585d906d3f62,aa28336cbb12fe67b0782308e6a2438801fa85b4594f024d2c486af12257b9cd,llama3-8b-inst,O_NATIVE,4,899c7f0defd1e96e9ab6fd89bf978b4d80119719ee8c87f4fe2ae72ffd31640d,0,0,5791fb49a5fdcff2741e70357d1225d9199c0d87be6798c3b1b2d5b12e7afffd,1,0,0
9848947d4f6a5e5c61bffab45450ad78f92592bf236dd90d1ae1520159aba973,cdd5922436375d05aa5b7bae8059da9767e51a6f89eda6ec78b49a2986551428,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,qwen2.5-7b-inst,O_NATIVE,1,ef146dbe7387ddd10560317bf39f728b576f2271d511971bad633df07e44a1f3,0,0,9bcb922af5de9625ef11be8277d1c976116bba606bebaa78511bbdf66f9b36bd,1,0,0
ef146dbe7387ddd10560317bf39f728b576f2271d511971bad633df07e44a1f3,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,qwen2.5-7b-inst,O_NATIVE,2,69bffbd69cb174b24d42cf3a566dce7305c3030b4fe572ae26449134ea44a247,0,0,0da8aff35e75d20b7e7ccf279691674b9ad6be39ef3be985d43a04a7c38b9722,1,0,0
69bffbd69cb174b24d42cf3a566dce7305c3030b4fe572ae26449134ea44a247,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,qwen2.5-7b-inst,O_NATIVE,3,162708e630d717502b7945ffd3ac3875e22622231d739fe281c6cb728f8e6188,0,0,687aac3e650314e8dba0abdc8b04c65275148d04b5ba5adf018002bc341bdb20,1,0,0
162708e630d717502b7945ffd3ac3875e22622231d739fe281c6cb728f8e6188,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,qwen2.5-7b-inst,O_NATIVE,4,1b890df80dff147a928c6963c25fe4471b972f072219c4ee776240e2ca350721,0,0,c2bc484ff13af9adf659d5765e83e1ce2666d63e4cff8d7ac60e83229454ccc4,1,0,0
1b890df80dff147a928c6963c25fe4471b972f072219c4ee776240e2ca350721,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,qwen2.5-7b-inst,O_NATIVE,5,dac857673361a2c4364d334d9fae006793ad491f2f0e21642429674f17a6456a,0,0,b6ee1845aa7cedac2b19042379dc3a56b219316d1716fad0d3ef31c80a3e43cb,1,0,0
1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,0c566ceb5c7fecdcfa18682612d0861a74ef057bafdcc2bf702287149860bb71,0,0,b77e88c4561b906475d6ad9c6fc47323e8490b1cf7c37b4f2fc76c665e33c011,1,0,0
