arm,family,policy,execution,batch,ordinal_start,ordinal_end_exclusive,batch_size,target_calls,solves,candidate_endpoints_max,history_layers
N4,local4,fixed,new_from_common_W0,1,0,100,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,2,100,200,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,3,200,300,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,4,300,400,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,5,400,500,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,6,500,600,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,7,600,700,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,8,700,800,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,9,800,900,100,100,1,1,4
N4,local4,fixed,new_from_common_W0,10,900,1000,100,100,1,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,1,0,100,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,2,100,200,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,3,200,300,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,4,300,400,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,5,400,500,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,6,500,600,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,7,600,700,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,8,700,800,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,9,800,900,100,200,2,1,4
REFIT4,local4_then_local4,fixed,new_from_common_W0,10,900,1000,100,200,2,1,4
L75,local4_then_fresh_local8,fixed,new_from_common_W0,1,0,100,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,2,100,200,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,3,200,300,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,4,300,400,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,5,400,500,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,6,500,600,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,7,600,700,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,8,700,800,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,9,800,900,100,200,2,1,4;8
L75,local4_then_fresh_local8,fixed,new_from_common_W0,10,900,1000,100,200,2,1,4;8
T75,entry_terminal8,fixed,new_from_common_W0,1,0,100,100,100,2,1,4;8
T75,entry_terminal8,fixed,new_from_common_W0,2,100,200,100,100,2,1,4;8
T75,entry_terminal8,fixed,new_from_common_W0,3,200,300,100,100,2,1,4;8
T75,entry_terminal8,fixed,new_from_common_W0,4,300,400,100,100,2,1,4;8
T75,entry_terminal8,fixed,new_from_common_W0,5,400,500,100,100,2,1,4;8
