alias,arm,batch,checkpoint_backward,checkpoint_forward,checkpoint_forward_input_tokens,checkpoint_history_key_captures,checkpoint_linalg_solve,checkpoint_linalg_solve_seconds,checkpoint_native_keys,checkpoint_native_keys_seconds,checkpoint_wall,commit_backward,commit_forward,commit_forward_input_tokens,commit_history_key_captures,commit_linalg_solve,commit_linalg_solve_seconds,commit_native_keys,commit_native_keys_seconds,commit_wall,endpoint_seconds,full_batch_backward,full_batch_forward,full_batch_forward_input_tokens,full_batch_history_key_captures,full_batch_linalg_solve,full_batch_linalg_solve_seconds,full_batch_native_keys,full_batch_native_keys_seconds,full_batch_wall,history_seconds,inner_virtual_euler_nodes,main_JVP,native_direction_builds,native_factor_solves,peak_gpu_bytes,persistent_commit_count,provenance,seen_backward,seen_forward,seen_forward_input_tokens,seen_history_key_captures,seen_linalg_solve,seen_linalg_solve_seconds,seen_native_keys,seen_native_keys_seconds,seen_wall,source_endpoint_physical_write_count,target_backward,target_forward,target_forward_input_tokens,target_history_key_captures,target_linalg_solve,target_linalg_solve_seconds,target_native_keys,target_native_keys_seconds,target_wall,write_excluding_endpoint_seconds,write_including_endpoint_backward,write_including_endpoint_forward,write_including_endpoint_forward_input_tokens,write_including_endpoint_history_key_captures,write_including_endpoint_linalg_solve,write_including_endpoint_linalg_solve_seconds,write_including_endpoint_native_keys,write_including_endpoint_native_keys_seconds,write_including_endpoint_wall
llama3-8b-inst,O_NATIVE,1,0,0,0,0,0,0.0,0,0.0,29.426532986108214,0,0,0,0,0,0.0,0,0.0,35.011385838035494,79.98126713605598,2400,2734,553867,5,5,1.570152670610696,10,136.39965354511514,1115.5621087639593,96.92210891377181,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,0,0,0,0,0.0,0,0.0,0.03851430397480726,1,2400,2500,321475,0,0,0.0,0,0.0,757.6299108490348,181.3146658479236,0,233,230092,5,5,1.570152670610696,10,136.39965354511514,261.2959329839796
llama3-8b-inst,O_NATIVE,2,0,0,0,0,0,0.0,0,0.0,1.1200085282325745e-05,0,0,0,0,0,0.0,0,0.0,39.016459045000374,78.40567459631711,2385,2733,533860,5,5,1.5487722209654748,10,119.6239361683838,1105.565436246805,87.08826259756461,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,14,3072,0,0,0.0,0,0.0,3.4754956206306815,1,2385,2485,328692,0,0,0.0,0,0.0,797.3189243529923,159.31798400264233,0,233,200696,5,5,1.5487722209654748,10,119.6239361683838,237.72365859895945
llama3-8b-inst,O_NATIVE,3,0,0,0,0,0,0.0,0,0.0,1.2230128049850464e-05,0,0,0,0,0,0.0,0,0.0,37.42635213956237,78.64073170162737,2347,2707,523288,5,5,1.5411722180433571,10,118.98841370036826,1074.0730093400925,87.19109173445031,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,26,5584,0,0,0.0,0,0.0,6.288672504015267,1,2347,2447,315672,0,0,0.0,0,0.0,761.6319790938869,159.64096749247983,0,233,200532,5,5,1.5411722180433571,10,118.98841370036826,238.2816991941072
llama3-8b-inst,O_NATIVE,4,0,0,0,0,0,0.0,0,0.0,1.605972647666931e-05,0,0,0,0,0,0.0,0,0.0,36.24328754795715,79.72615789435804,2295,2667,525740,5,5,1.544137238059193,10,120.19074289966375,1076.635936297942,87.00469616800547,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,38,8128,0,0,0.0,0,0.0,9.055376960895956,1,2295,2395,312172,0,0,0.0,0,0.0,764.7186492481269,159.9429052970372,0,233,203940,5,5,1.544137238059193,10,120.19074289966375,239.66906319139525
llama3-8b-inst,O_NATIVE,5,0,0,0,0,0,0.0,0,0.0,33.04681193130091,0,0,0,0,0,0.0,0,0.0,35.64889923669398,78.35260674962774,2122,3106,657467,5,5,1.5452868966385722,10,120.88070767419413,1211.0546834408306,87.35061394609511,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,650,166624,0,0,0.0,0,0.0,181.6861521890387,1,2122,2222,286811,0,0,0.0,0,0.0,693.8849970228039,160.6618044753559,0,233,202532,5,5,1.5452868966385722,10,120.88070767419413,239.01441122498363
llama3-8b-inst,O_NATIVE,6,0,0,0,0,0,0.0,0,0.0,7.2303228080272675e-06,0,0,0,0,0,0.0,0,0.0,35.46256945002824,80.38734574988484,2002,2400,498385,5,5,1.5406741346232593,10,123.67096523707733,992.818006505724,89.01938205771148,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,64,13424,0,0,0.0,0,0.0,15.07027880800888,1,2002,2102,275401,0,0,0.0,0,0.0,670.0439107711427,163.72771391505376,0,233,208060,5,5,1.5406741346232593,10,123.67096523707733,244.1150596649386
llama3-8b-inst,O_NATIVE,7,0,0,0,0,0,0.0,0,0.0,5.529727786779404e-06,0,0,0,0,0,0.0,0,0.0,35.01917287008837,80.3776168548502,2016,2426,504759,5,5,1.547774733044207,10,122.89745143568143,990.7036784812808,89.30993061047047,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,76,16128,0,0,0.0,0,0.0,18.0653453390114,1,2016,2116,279671,0,0,0.0,0,0.0,665.3894458971918,163.865240578074,0,233,207460,5,5,1.547774733044207,10,122.89745143568143,244.2428574329242
llama3-8b-inst,O_NATIVE,8,0,0,0,0,0,0.0,0,0.0,9.940005838871002e-06,0,0,0,0,0,0.0,0,0.0,35.31435362063348,80.26757327606902,1888,2310,493400,5,5,1.5454900697804987,10,125.28364691929892,966.9415978342295,89.89388491678983,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,88,18800,0,0,0.0,0,0.0,21.341757739894092,1,1888,1988,261576,0,0,0.0,0,0.0,634.9181124959141,166.9115670910105,0,233,211224,5,5,1.5454900697804987,10,125.28364691929892,247.17914036707953
llama3-8b-inst,O_NATIVE,9,0,0,0,0,0,0.0,0,0.0,1.3400334864854813e-05,0,0,0,0,0,0.0,0,0.0,36.02618455514312,78.63120726589113,1771,2205,455540,5,5,1.5497133657336235,10,114.34674695879221,892.2615961870179,83.65775894885883,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,100,21520,0,0,0.0,0,0.0,24.032021961640567,1,1771,1871,238924,0,0,0.0,0,0.0,571.6548637389205,153.56763004418463,0,233,193696,5,5,1.5497133657336235,10,114.34674695879221,232.19883731007576
llama3-8b-inst,O_NATIVE,10,0,0,0,0,0,0.0,0,0.0,32.946296692825854,0,0,0,0,0,0.0,0,0.0,35.51386882038787,80.41831731190905,1799,3599,833747,5,5,1.542893886566162,10,122.85710390284657,1350.3448560279794,88.86463666521013,0,0,NOT_RECORDED,NOT_RECORDED,39115080192,1,SH2_PUBLICATION_SH1_RECOMPUTED,0,1466,375448,0,0,0.0,0,0.0,411.7914802590385,1,1799,1899,247723,0,0,0.0,0,0.0,597.067334419582,164.20802576839924,0,233,208876,5,5,1.542893886566162,10,122.85710390284657,244.6263430803083
