KKT_complementarity,KKT_stationarity,L4_7_signed_progress,L4_step_norm,L5_step_norm,L6_step_norm,L7_step_norm,L8_energy_share,L8_step_norm,V0,V_after,V_before,V_ratio,alias,arm,barrier_increment,barrier_value,batch,batch_entry_to_node_energy,best_single_layer,continuous_dissipation_residual,cumulative_normalized_native_work,effective_layers,entropy,finite_step_defect_reconstructed,finite_step_dissipation_defect,gain_reconstructed,joint_minus_l8_improvement,joint_objective_improvement,joint_signed_progress,l8_objective_improvement,l8_shadow_native_cosine,linear_prediction_delta_V,materialization_discrepancy_normalized,max_layer,model_error_normalized,model_error_raw_activation,node,node_wall_seconds,normalized_native_work,normalized_velocity_action_reconstructed,observed_delta_V,provenance,qN_ref,relative_joint_over_l8_improvement,response_squared_reconstructed,source_estimator_class,speed_bound,speed_excess,supported_layers,total_step_energy
NOT_RECORDED,2.220446049250313e-16,0.02680943902427608,0.0,0.006618667836957947,0.01559793464618529,0.19177949534275124,0.9990623996525179,6.284606401397081,NOT_RECORDED,0.13174816040954387,0.5000000016387333,0.2634963199554874,llama3-8b-inst,JV_NATIVE,-0.3588415492132014,0.14115845242553193,1,39.53334409764425,8,5.898059818321144e-17,0.09410292015988056,1.0075482665393294,0.007519920926252438,0.0001258987845851739,0.0001258987845960402,0.9760671120260737,0.0003041887889267403,0.48803355601303683,0.9760671120260737,0.4877293672241101,0.9995310899142232,-0.36837774001377466,5.216526529692448e-06,8,0.002143282835327435,0.09744310794845715,0,NOT_RECORDED,0.09410292015988056,0.18820584031976112,-0.3682518412291894,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006232948230277315,0.9572465279940975,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.500000008193666,-2.311794167873905,"[5, 6, 7, 8]",39.53334409764425
NOT_RECORDED,2.220446049250313e-16,0.006300061109863026,0.000901102050144387,0.0036657602715990676,0.007250224672904456,0.09273938475196261,0.9992011425225524,3.29258090056338,NOT_RECORDED,0.034750364019639726,0.13174816040954387,0.06950072781149315,llama3-8b-inst,JV_NATIVE,-0.09441518269905158,0.046743269726480345,1,91.71625161746243,8,-1.6479873021779667e-17,0.11992905706840618,1.0065572323850758,0.006535827258107821,1.6721492594413967e-05,1.6721492593727016e-05,0.2569836385594278,7.180461887770773e-05,0.12849181927971387,0.2569836385594278,0.12842001466083616,0.9996004914279175,-0.09701451788249857,5.216526529692448e-06,8,0.0005259157171082385,0.023942096626317588,1,NOT_RECORDED,0.025826136908525612,0.051652273817051224,-0.09699779638990415,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005588263850587735,0.2518184111777227,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6587408020477193,-0.6070885282306682,"[4, 5, 6, 7, 8]",10.849756395780012
NOT_RECORDED,5.551115123125783e-17,0.0015175041776117652,0.0008322991739129513,0.0015491414861283942,0.0037418449815649567,0.04558464481515506,0.9992950341812281,1.7232981641687708,NOT_RECORDED,0.009176219886358621,0.034750364019639726,0.018352439712567736,llama3-8b-inst,JV_NATIVE,-0.02486674150021224,0.021876528226268104,1,127.53058214019055,8,-2.6020852139652106e-18,0.12700308339909483,1.0058747582570051,0.005857569153080984,2.236621026156793e-06,2.236621024345742e-06,0.06773208025610679,1.7578814217517058e-05,0.033866040128053394,0.06773208025610679,0.03384846131383588,0.9996474549773487,-0.025576380754307262,5.216526529692448e-06,8,0.0001320309308923248,0.0060209063154978,2,NOT_RECORDED,0.007074026330688652,0.014148052661377305,-0.025574144133281105,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005190690777855487,0.06631727498996906,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.17375182009819862,-0.1596037674368213,"[4, 5, 6, 7, 8]",2.971851616435505
NOT_RECORDED,5.551115123125783e-17,0.000379377224935324,0.00044903266191788723,0.000640726724729643,0.0020629645250421604,0.023115904712207223,0.9993362124023955,0.9009930408810092,NOT_RECORDED,0.0024258209049498585,0.009176219886358621,0.004851641793998623,llama3-8b-inst,JV_NATIVE,-0.006557037146517508,0.015319491079750596,1,148.48132156475367,8,-3.198396408832238e-18,0.12893670174800737,1.0055732578163559,0.0055577846789131875,3.0764528165770633e-07,3.076452815744396e-07,0.017872976447913615,4.509413581174279e-06,0.008936488223956806,0.017872976447913615,0.008931978810375631,0.9996680511159958,-0.006750706626690419,5.216526529692448e-06,8,3.466374089373433e-05,0.0015832152543321495,3,NOT_RECORDED,0.0019336183489125447,0.0038672366978250894,-0.006750398981408763,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005046068957026664,0.01748625277813111,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.0458810994317931,-0.04201386273396801,"[4, 5, 6, 7, 8]",0.8123276727503705
NOT_RECORDED,4.440892098500626e-16,0.025208781615651116,0.0,0.0014708009564839474,0.019604240730264323,0.19669575425253183,0.9991535799896686,6.791670348698719,NOT_RECORDED,0.13197700661568584,0.5000000284621029,0.26395399820599996,llama3-8b-inst,JV_NATIVE,-0.3582244035099288,0.1417756249521741,2,46.16586183464441,8,-2.3245294578089215e-16,0.09798618336488267,1.0069050516391131,0.006881320948510553,5.288058561142561e-05,5.2880585608594544e-05,0.9750033275944169,0.00030129369387299487,0.48750166379720833,0.9750033275944169,0.48720037010333533,0.9995770758351006,-0.36807590243202837,2.1452998260062986e-06,8,0.0020447040790855927,0.09375399729871632,0,NOT_RECORDED,0.09798618336488267,0.19597236672976534,-0.36802302184641705,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006180362370995466,0.9554060909214406,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.5000001423105145,-2.304027775580749,"[5, 6, 7, 8]",46.16586183464441
NOT_RECORDED,2.220446049250313e-16,0.006165614731562296,0.0010712881316656704,0.0,0.007304266608506141,0.10013354403797131,0.9991960718771152,3.539756899296585,NOT_RECORDED,0.034872559506705085,0.13197700661568584,0.06974511504322489,llama3-8b-inst,JV_NATIVE,-0.09444293279548197,0.04733269215669215,2,106.71754033754686,8,4.2500725161431774e-17,0.1246013264998706,1.0065814261303059,0.006559863103953827,3.9693264379386806e-06,3.969326437792964e-06,0.2571814342854507,7.538552584462899e-05,0.12859071714272538,0.2571814342854507,0.12851533161688075,0.999598291471413,-0.09710841643541872,2.1452998260062986e-06,8,0.0005133914583860021,0.023561981712807285,1,NOT_RECORDED,0.026615143134987924,0.05323028626997585,-0.09710444710898075,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.000586243918065696,0.2518584056584531,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6598850330784292,-0.6066547468084533,"[4, 6, 7, 8]",12.539960132728327
NOT_RECORDED,1.1102230246251565e-16,0.0015371539548963758,0.0006367998821626591,0.0,0.003134615199084136,0.050830550892236766,0.9992375565084147,1.8437988496416051,NOT_RECORDED,0.009225787509455099,0.034872559506705085,0.018451573968569005,llama3-8b-inst,JV_NATIVE,-0.024924674803264588,0.02240801735342756,2,148.0054377869849,8,-3.7947076036992655e-17,0.1318222984397246,1.0062754794747613,0.006255870647213568,1.46557052950122e-07,1.4655705274715936e-07,0.06791038468215085,1.9412364847461172e-05,0.03395519234107542,0.06791038468215085,0.03393577997622796,0.9996190101988991,-0.025646918554302914,2.1452998260062986e-06,8,0.00013141869320388853,0.006033612128925923,2,NOT_RECORDED,0.0072209719398540016,0.014441943879708003,-0.025646771997249986,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005717053419243376,0.06646619029418009,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.1743627975335254,-0.1599208536538174,"[4, 6, 7, 8]",3.4021881741702504
NOT_RECORDED,5.551115123125783e-17,0.00039271845772892113,0.00028813551340203423,0.0,0.0015956106349257603,0.026100534736948514,0.9992582826837585,0.9598546297844799,NOT_RECORDED,0.002443922518334667,0.009225787509455099,0.004887844758432653,llama3-8b-inst,JV_NATIVE,-0.00658616314843427,0.01582185420499329,2,172.01231188070633,8,-3.2526065174565133e-18,0.1337793168665862,1.0061244402781468,0.006105762117178858,-3.689585517012775e-08,-3.6895855121989174e-08,0.017954407025583253,5.1357673864320386e-06,0.008977203512791625,0.017954407025583253,0.008972067745405193,0.9996293595655502,-0.006781828095265259,2.1452998260062986e-06,8,3.4491892227739755e-05,0.0015834932733536664,3,NOT_RECORDED,0.0019570184268616155,0.003914036853723231,-0.006781864991120432,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0005720898918147594,0.017563003340210933,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.04612893754727549,-0.04221490069355226,"[4, 6, 7, 8]",0.922004777227628
NOT_RECORDED,4.440892098500626e-16,0.026448765988231645,0.0,0.003452131172255166,0.02618924557926363,0.21556928465396769,0.9991077632504296,7.267573474053088,NOT_RECORDED,0.13236335431585922,0.5000000937091397,0.2647266590171035,llama3-8b-inst,JV_NATIVE,-0.357493160828323,0.14250693288081667,3,52.86479211103994,8,1.3877787807814457e-17,0.10143578564957449,1.007252963680224,0.007226787433190627,9.742932068380894e-05,9.742932068318444e-05,0.9738620641939331,0.00032502911357457087,0.4869310320969666,0.9738620641939331,0.486606002983392,0.9995533845397057,-0.36773416871396425,2.0304019065759663e-06,8,0.002012635188136509,0.09545280647800594,0,NOT_RECORDED,0.10143578564957449,0.20287157129914898,-0.36763673939328045,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006675054415300546,0.9535749070640182,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,2.5000004685456982,-2.2971288972465493,"[5, 6, 7, 8]",52.86479211103994
NOT_RECORDED,1.1102230246251565e-16,0.006296076466406299,0.0,0.00021457486625755883,0.01477003699388378,0.10542686376059587,0.999224488294596,3.821292245933548,NOT_RECORDED,0.03510842434526953,0.13236335431585922,0.07021683553062055,llama3-8b-inst,JV_NATIVE,-0.09444690189092358,0.048060030989893074,3,122.90474089534229,8,-5.204170427930421e-17,0.12951606644623545,1.006423756426855,0.006403212038035501,1.0719424951503853e-05,1.0719424950025869e-05,0.25750304633499904,7.808170776824053e-05,0.12875152316749952,0.25750304633499904,0.12867344145973128,0.9996115037983029,-0.09726564939554116,2.0304019065759663e-06,8,0.0005022506096349196,0.023824092751339013,1,NOT_RECORDED,0.028080280796660955,0.05616056159332191,-0.09725492997058968,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,0.0006064526915666854,0.2518869901756669,FULL_LAYER_TERMINAL_JVP_CURRENT_STATE,0.6618167715792961,-0.6056562099859741,"[5, 6, 7, 8]",14.613607452469427
