arm,layer,batches,update_norm_n,update_norm_mean,update_norm_median,update_norm_q25,update_norm_q75,update_norm_p90,update_norm_max,magnitude_share_n,magnitude_share_mean,magnitude_share_median,magnitude_share_q25,magnitude_share_q75,magnitude_share_p90,magnitude_share_max,relative_norm_n,relative_norm_mean,relative_norm_median,relative_norm_q25,relative_norm_q75,relative_norm_p90,relative_norm_max,native_prewrite_z_error_printed_n,native_prewrite_z_error_printed_mean,native_prewrite_z_error_printed_median,native_prewrite_z_error_printed_q25,native_prewrite_z_error_printed_q75,native_prewrite_z_error_printed_p90,native_prewrite_z_error_printed_max,sum_batch_net_lengths
MEMIT_ORIGINAL,4,100,100,9.780380772956894,8.619974978564839,7.173789931461687,12.063479004808043,14.344639567224378,16.878657468904404,100,0.6268392565016027,0.6383248278600044,0.5917442997788922,0.6824077364852257,0.7058147598834341,0.7612846977014146,100,0.09895938856662062,0.0921202392885669,0.0861366911617645,0.11370074809602834,0.12114828103535974,0.132175440295954,100,3.324717,2.9459,2.4623,4.08375,4.8401000000000005,5.6968,978.0380772956892
MEMIT_ORIGINAL,8,100,100,6.127858351352638,5.690362176123133,3.6923996190995245,8.284037586504766,9.656027611694045,13.590752430254847,100,0.3731607434983973,0.36167517213999556,0.31759226351477443,0.4082557002211079,0.4907699251509645,0.5996309020831774,100,0.06806982632245497,0.061901891509790065,0.04541128681638888,0.08458363678866238,0.10489606794876738,0.16085890546834467,100,1.241982,0.9979,0.5502499999999999,1.6559499999999998,2.3596300000000006,5.3975,612.7858351352636
AlphaEdit_ORIGINAL,4,100,100,10.372295350174332,10.6922424614648,9.393206783968175,11.417703720356895,11.747575495088713,12.238958650775766,100,0.7380308120972038,0.7172034863472782,0.6779227687183035,0.7822872755529191,0.8147221015276641,0.9999946594488002,100,0.10220123014889335,0.10318837404632394,0.0985565786904188,0.10632851600646054,0.10757222797790188,0.11132277603995054,100,2.7768650000000004,2.8209,2.57335,2.98215,3.05648,3.2253,1037.2295350174334
AlphaEdit_ORIGINAL,8,100,100,3.9514180628713875,4.189475800953306,2.752731355254789,5.316280865917579,6.004336883477335,7.159989509005864,100,0.261969187902796,0.28279651365272185,0.21771272444708084,0.3220772312816965,0.3466221718439004,0.3858687542789272,100,0.04736643657179611,0.050880175482379705,0.03412316630824711,0.06170411596163053,0.06967235001572333,0.08418061602415182,100,0.23070808505,0.2139,0.102975,0.3245,0.43818000000000007,0.6413,395.14180628713876
MEMIT_L4_ONLY,4,100,100,8.964528855548913,8.430251883512891,7.275169816466645,10.331977230293264,11.887624960002475,13.975985071213703,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.09307407696098355,0.09015497075703435,0.0864450845342199,0.09896101552793903,0.10504066680058996,0.11672563400605825,100,3.0466630000000006,2.8878500000000003,2.4938499999999997,3.4955749999999997,3.9835000000000003,4.7394,896.4528855548913
AlphaEdit_L4_ONLY,4,100,100,10.381360576667964,10.719923861501009,9.408691488743187,11.429340141667891,11.749695092875154,12.254685317873454,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.10225917847071875,0.10313618137583197,0.09870284429332765,0.10636172123415655,0.10766760841771976,0.1113413163238633,100,2.7794380000000003,2.8242000000000003,2.576875,2.988175,3.0625099999999996,3.2292,1038.1360576667964
MEMIT_L8_ONLY,8,100,100,20.36855146300451,19.774602424589126,13.227629392608865,26.975867890780464,31.23679552681335,36.63401077252091,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.1450347657185818,0.15102982756837974,0.13729527960109664,0.15492663891512642,0.1571496688535441,0.16476998462376222,100,9.76335,9.6652,6.512225,12.83765,14.66867,16.8612,2036.8551463004515
AlphaEdit_L8_ONLY,8,100,100,24.925806912129516,26.186663558946673,21.640328756848575,28.88502175175235,29.996053055118484,30.908751320115954,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.15548564022983244,0.15375698991962755,0.13363594376944288,0.17797056206458348,0.18929317421693403,0.20080027681996887,100,6.7140509999999995,6.8385,6.0200499999999995,7.519375,7.804539999999999,8.0829,2492.580691212951
