arm,batch,scope,metric,numerator,denominator,rate,request_denominator,pair_strict_num,ties,bit_order_sha256,new_nll_prompt_n,new_nll_prompt_mean,new_nll_prompt_median,new_nll_prompt_q25,new_nll_prompt_q75,new_nll_prompt_p90,new_nll_prompt_max,new_nll_request_n,new_nll_request_mean,new_nll_request_median,new_nll_request_q25,new_nll_request_q75,new_nll_request_p90,new_nll_request_max,new_strict_num,new_strict_den,new_token_correct,new_token_den,true_nll_prompt_n,true_nll_prompt_mean,true_nll_prompt_median,true_nll_prompt_q25,true_nll_prompt_q75,true_nll_prompt_p90,true_nll_prompt_max,true_nll_request_n,true_nll_request_mean,true_nll_request_median,true_nll_request_q25,true_nll_request_q75,true_nll_request_p90,true_nll_request_max,true_strict_num,true_strict_den,true_token_correct,true_token_den,margin_prompt_n,margin_prompt_mean,margin_prompt_median,margin_prompt_q25,margin_prompt_q75,margin_prompt_p90,margin_prompt_max,margin_request_n,margin_request_mean,margin_request_median,margin_request_q25,margin_request_q75,margin_request_p90,margin_request_max,new_nll_prompt_p99,new_nll_request_p99,true_nll_prompt_p99,true_nll_request_p99,margin_prompt_p99,margin_request_p99
MEMIT_ORIGINAL,100,FINAL_W100_FULL10000,RS,7183,10000,0.7183,10000,7183,0,802b3c475e8a27a03caf90f8db8dbb2aa51b156881afb1add8a22a18cb1ccb56,10000,5.050802183821953,4.057188272476196,0.27306053787469864,8.51231575012207,11.99025001525879,29.0822696685791,10000,5.050802183821953,4.057188272476196,0.27306053787469864,8.51231575012207,11.99025001525879,29.0822696685791,3603,10000,3702,10163,10000,9.063306354666292,8.874570846557617,5.993369817733765,11.827912092208862,14.867193126678469,31.05169677734375,10000,9.063306354666292,8.874570846557617,5.993369817733765,11.827912092208862,14.867193126678469,31.05169677734375,348,10000,370,10127,10000,4.0125041708443385,3.7155361026525497,-0.5370645523071289,8.547727796249092,12.84878556071781,31.0516965389252,10000,4.0125041708443385,3.7155361026525497,-0.5370645523071289,8.547727796249092,12.84878556071781,31.0516965389252,17.787604293823254,17.787604293823254,20.839425621032717,20.839425621032717,19.456176777426165,19.456176777426165
MEMIT_ORIGINAL,100,FINAL_W100_FULL10000,PS,13530,20000,0.6765,10000,5691,0,707843e050fce61c30744e445d0ac57d505aabdeedf130b8a736a9891181c8e0,20000,6.209821521634354,5.982995271682739,1.9231572151184082,9.620244026184082,12.462679004669193,28.984909057617188,10000,6.209821521634354,6.102678179740906,2.467587396502495,9.390152752399445,11.947779512405397,22.16659164428711,4817,20000,4986,20326,20000,9.037506680682394,8.944305896759033,6.329940557479858,11.58235478401184,14.11568384170533,29.830331802368164,10000,9.037506680682394,8.943359136581421,6.639851629734039,11.28959608078003,13.597830629348756,24.330763816833496,567,20000,620,20254,20000,2.8276851590480403,2.479676842689514,-1.1404039859771729,6.607817851006985,10.409064286202193,29.83032810688701,10000,2.8276851590480403,2.466502547264099,-0.89588463306427,6.352087199687958,9.967448825202885,24.330561665588903,17.476532115936262,16.28548226833344,19.06293724060058,17.661231002807618,16.807707345392554,15.80222951146309
MEMIT_ORIGINAL,100,FINAL_W100_FULL10000,NS,53287,100000,0.53287,10000,1334,0,750b983f2dec50aadd2bd2e4feab7a88ff6896231fe86f87b6161abf235adc28,100000,8.520500316930644,8.509740352630615,5.340839266777039,11.565961599349976,14.326894855499269,36.24967956542969,10000,8.520500316930644,8.62915496826172,6.065678882226348,10.912427735328674,12.929361238479615,24.865762519836426,7442,100000,7787,101630,100000,8.147838139124516,8.034744262695312,5.191545486450195,10.88824987411499,13.552863883972169,36.81769943237305,10000,8.147838139124518,8.056166207790374,6.169659525156021,10.033543133735657,11.9226997756958,19.8440691947937,5969,100000,6255,101270,100000,-0.37266217780612687,-0.4051809310913086,-3.6921732425689697,2.937463700771332,6.06006383895874,25.98789752558514,10000,-0.37266217780612687,-0.38452059403061867,-2.9000398933887483,2.0987967651337387,4.622138770222665,14.475560849905014,19.814994773864733,16.607834811210633,19.261454944610595,15.887524728775025,11.80566396474838,9.20523710364709
AlphaEdit_ORIGINAL,100,FINAL_W100_FULL10000,RS,9888,10000,0.9888,10000,9888,0,c7b1b2fec0828b417d3e0a715059f2ab95bac9b3823dee47d1df5e5920be05ed,10000,0.3853376517310731,0.006037257611751556,0.0018978277803398669,0.027346559800207615,0.22351100891828554,25.81119155883789,10000,0.3853376517310731,0.006037257611751556,0.0018978277803398669,0.027346559800207615,0.22351100891828554,25.81119155883789,9465,10000,9626,10163,10000,12.803855611605476,12.605580806732178,9.840566635131836,15.525844097137451,18.345563888549805,30.7008113861084,10000,12.803855611605476,12.605580806732178,9.840566635131836,15.525844097137451,18.345563888549805,30.7008113861084,14,10000,108,10127,10000,12.418517959874404,12.41675917437533,9.516213778842939,15.417676163167926,18.28153673107736,30.700756074525998,10000,12.418517959874404,12.41675917437533,9.516213778842939,15.417676163167926,18.28153673107736,30.700756074525998,11.246422805786134,11.246422805786134,23.21499820709229,23.21499820709229,23.160142301323948,23.160142301323948
AlphaEdit_ORIGINAL,100,FINAL_W100_FULL10000,PS,19155,20000,0.95775,10000,9317,0,21bdb8a9be435bac6cb045ed4bc1451822d0f38ba15369907e85bae56416612f,20000,1.689226120346938,0.42386993765830994,0.05392592679709196,2.2894381880760193,5.144316244125373,26.038330078125,10000,1.689226120346938,0.8143153935670853,0.14549152832478285,2.4156486354768276,4.357763000810519,21.674957275390625,13229,20000,13540,20326,20000,9.86399906289459,9.654114246368408,7.178765535354614,12.320239305496216,14.866344261169441,29.442197799682617,10000,9.86399906289459,9.662359476089478,7.469042897224426,12.102221965789795,14.36272044181824,26.815227508544922,122,20000,312,20254,20000,8.174772942547651,8.164853930473328,5.02187442779541,11.325753830373287,14.257254120707515,29.442188024569077,10000,8.174772942547651,8.17287933838088,5.422860562801361,10.968190041632624,13.669140646606683,26.814698678943387,12.112086610794012,11.258713488578797,19.82660545349121,18.617118158340457,19.595044743607282,18.198088692268357
AlphaEdit_ORIGINAL,100,FINAL_W100_FULL10000,NS,63726,100000,0.63726,10000,1817,0,227fc7f91b4dea611fb57303d427d5f6b7386b056211df46ae55aeee6c5d86ba,100000,8.38539083906333,8.381928443908691,5.596282482147217,11.106101512908936,13.594896602630616,28.248762130737305,10000,8.385390839063332,8.336600589752198,6.2112412911839785,10.44804426431656,12.190428032875062,20.907353115081786,4992,100000,6419,101630,100000,6.901760760992175,6.678215026855469,3.991884708404541,9.464910507202148,11.996046066284181,30.505306243896484,10000,6.9017607609921745,6.727448987960816,5.04899429231882,8.584034097194671,10.328772678375245,21.13277063369751,8026,100000,9061,101270,100000,-1.4836300780711555,-1.5333075523376465,-4.551456928253174,1.461498737335205,4.446013259887695,25.076265861163847,10000,-1.4836300780711558,-1.5862459491938352,-3.699315278604627,0.6150045081973077,2.881158299446107,11.615620680432766,18.25516824722289,15.202310807228091,17.287660598754883,12.842614677429202,11.105921249430889,7.238458994091812
MEMIT_L4_ONLY,100,FINAL_W100_FULL10000,RS,7722,10000,0.7722,10000,7722,0,28013c114fe0b7ffa5cbd7c3007bf3f2d5a116de92951e8df842f5375a007aaa,10000,3.304157085548471,2.1225816011428833,0.22084233537316322,5.520267605781555,8.489143085479736,24.245737075805664,10000,3.304157085548471,2.1225816011428833,0.22084233537316322,5.520267605781555,8.489143085479736,24.245737075805664,4265,10000,4389,10163,10000,7.5012268169661285,7.117262363433838,4.5389546155929565,10.040948152542114,12.759636306762696,29.37495994567871,10000,7.5012268169661285,7.117262363433838,4.5389546155929565,10.040948152542114,12.759636306762696,29.37495994567871,450,10000,525,10127,10000,4.197069731417658,3.8358988240361214,0.35613059997558594,7.925224932841957,11.672309889481403,29.37470046072849,10000,4.197069731417658,3.8358988240361214,0.35613059997558594,7.925224932841957,11.672309889481403,29.37470046072849,13.678180809021004,13.678180809021004,18.292810649871832,18.292810649871832,18.07467237512814,18.07467237512814
MEMIT_L4_ONLY,100,FINAL_W100_FULL10000,PS,14966,20000,0.7483,10000,6485,0,8b823d2364d7d8992417a5a6c639f0680ad954cf6be3d364cd2270ac2cb308cb,20000,3.809618997210272,2.9402313232421875,0.6650842428207397,6.151934623718262,8.931964683532716,21.150604248046875,10000,3.809618997210272,3.14847894012928,1.1737251356244087,5.827189147472382,8.353837370872498,18.7223482131958,7129,20000,7406,20326,20000,7.269899200904533,7.06052827835083,4.687617778778076,9.565287351608276,11.988607788085941,26.74201202392578,10000,7.269899200904533,7.099087834358215,4.957230508327484,9.306228280067444,11.510289907455444,25.34739398956299,833,20000,1020,20254,20000,3.46028020369426,3.261946678161621,-0.018916845321655273,6.765643946826458,10.10389059232548,26.741926792914455,10000,3.46028020369426,3.3194536566734314,0.28536080569028854,6.46134259889368,9.458238042204176,25.347311500139767,13.447237396240203,12.52140630722046,16.646597309112547,15.377383604049685,15.951325054876497,14.720564430450619
MEMIT_L4_ONLY,100,FINAL_W100_FULL10000,NS,57848,100000,0.57848,10000,1916,0,1b1ece3c83f79ddcfd500023b148056330835202d2926b5ed1c762360eda88ac,100000,6.823511465233629,6.703930377960205,4.02656888961792,9.361634731292725,11.820943260192871,29.35490608215332,10000,6.82351146523363,6.6798542506992815,4.632934093475342,8.85962451696396,10.850711855888369,19.999438762664795,8447,100000,9412,101630,100000,6.024745739028296,5.75731635093689,3.370847761631012,8.268232345581055,10.653668403625488,27.581714630126953,10000,6.024745739028296,5.788403207063675,4.129127383232117,7.613102400302886,9.467693367004395,18.631270122528075,9516,100000,10219,101270,100000,-0.7987657262053348,-0.8215312957763672,-3.684552788734436,2.0668928623199463,4.897143167257309,20.121833801276807,10000,-0.7987657262053347,-0.8393222033977508,-3.0781692892313,1.5237941972911357,3.8396611928939826,12.938057901710271,16.53873519897459,14.49816448879242,15.624923028945869,12.861180367469789,10.598793215905316,8.418860241312535
AlphaEdit_L4_ONLY,100,FINAL_W100_FULL10000,RS,9939,10000,0.9939,10000,9939,0,68a5488245c6df1492b97ad88d47826aec7abaac86b698dc3847d19a8cefdb99,10000,0.23052669824153363,0.007097152993083,0.002286797622218728,0.031117897015064955,0.2581025183200841,15.90229320526123,10000,0.23052669824153363,0.007097152993083,0.002286797622218728,0.031117897015064955,0.2581025183200841,15.90229320526123,9529,10000,9688,10163,10000,12.238441832916997,12.03248929977417,9.315213918685913,14.890914916992188,17.698750877380373,28.295740127563477,10000,12.238441832916997,12.03248929977417,9.315213918685913,14.890914916992188,17.698750877380373,28.295740127563477,18,10000,106,10127,10000,12.007915134675462,11.962727125850506,9.105142824191716,14.856712991313543,17.68245506306412,28.29553653881885,10000,12.007915134675462,11.962727125850506,9.105142824191716,14.856712991313543,17.68245506306412,28.29553653881885,5.449678969383243,5.449678969383243,22.35930395126344,22.35930395126344,22.358871355219463,22.358871355219463
