arm,batch,metric,comparison,denominator,before_num,after_num,retained,lost,gained,both_failed,conditional_loss_den,conditional_loss_rate,paired_rate_delta,previous_batch,arm_display_label,validation_origin
AlphaEdit_ORIGINAL,1,PS,AT_WRITE_TO_CHECKPOINT,200,190,190,190,0,0,10,190,0.0,0.0,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,1,NS,AT_WRITE_TO_CHECKPOINT,1000,867,867,867,0,0,133,867,0.0,0.0,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,5,RS,AT_WRITE_TO_CHECKPOINT,500,500,500,500,0,0,0,500,0.0,0.0,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,5,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,100,100,100,100,0,0,0,100,0.0,0.0,1,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,5,PS,AT_WRITE_TO_CHECKPOINT,1000,958,962,957,1,5,37,958,0.0010438413361169101,0.0040000000000000036,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,5,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,200,190,193,190,0,3,7,190,0.0,0.015000000000000013,1,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,5,NS,AT_WRITE_TO_CHECKPOINT,5000,4250,4190,4155,95,35,715,4250,0.02235294117647059,-0.01200000000000001,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,5,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,1000,867,852,839,28,13,120,867,0.03229527104959631,-0.015000000000000013,1,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,10,RS,AT_WRITE_TO_CHECKPOINT,1000,1000,997,997,3,0,0,1000,0.003,-0.0030000000000000027,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,10,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,500,500,498,498,2,0,0,500,0.004,-0.0040000000000000036,5,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,10,PS,AT_WRITE_TO_CHECKPOINT,2000,1936,1939,1928,8,11,53,1936,0.004132231404958678,0.0015000000000000568,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,10,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,1000,962,964,958,4,6,32,962,0.004158004158004158,0.0020000000000000018,5,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,10,NS,AT_WRITE_TO_CHECKPOINT,10000,8340,8057,7927,413,130,1530,8340,0.04952038369304557,-0.028299999999999992,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,10,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,5000,4190,4015,3939,251,76,734,4190,0.05990453460620525,-0.03499999999999992,5,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,20,RS,AT_WRITE_TO_CHECKPOINT,2000,2000,1992,1992,8,0,0,2000,0.004,-0.0040000000000000036,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,20,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,1000,997,995,995,2,0,3,997,0.0020060180541624875,-0.0020000000000000018,10,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,20,PS,AT_WRITE_TO_CHECKPOINT,4000,3887,3886,3860,27,26,87,3887,0.006946231026498585,-0.00024999999999997247,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,20,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,2000,1939,1938,1927,12,11,50,1939,0.006188757091284167,-0.000500000000000056,10,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,20,NS,AT_WRITE_TO_CHECKPOINT,20000,16285,15317,14962,1323,355,3360,16285,0.08124040528093338,-0.0484,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,20,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,10000,8057,7560,7345,712,215,1728,8057,0.0883703611766166,-0.049699999999999966,10,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,30,RS,AT_WRITE_TO_CHECKPOINT,3000,3000,2989,2989,11,0,0,3000,0.0036666666666666666,-0.003666666666666707,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,30,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,2000,1992,1989,1988,4,1,7,1992,0.002008032128514056,-0.0014999999999999458,20,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,30,PS,AT_WRITE_TO_CHECKPOINT,6000,5825,5809,5771,54,38,137,5825,0.009270386266094421,-0.002666666666666706,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,30,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,4000,3886,3871,3853,33,18,96,3886,0.008492022645393721,-0.003750000000000031,20,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,30,NS,AT_WRITE_TO_CHECKPOINT,30000,23817,22066,21375,2442,691,5492,23817,0.10253180501322584,-0.05836666666666668,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,30,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,20000,15317,14649,14164,1153,485,4198,15317,0.07527583730495528,-0.033399999999999985,20,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,40,RS,AT_WRITE_TO_CHECKPOINT,4000,3999,3978,3978,21,0,1,3999,0.005251312828207052,-0.005249999999999977,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,40,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,3000,2989,2979,2978,11,1,10,2989,0.0036801605888256944,-0.0033333333333332993,30,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,40,PS,AT_WRITE_TO_CHECKPOINT,8000,7785,7732,7678,107,54,161,7785,0.013744380218368657,-0.006624999999999992,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,40,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,6000,5809,5771,5742,67,29,162,5809,0.011533826820451024,-0.006333333333333302,30,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,40,NS,AT_WRITE_TO_CHECKPOINT,40000,31132,28720,27558,3574,1162,7706,31132,0.11480149042785558,-0.06030000000000002,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,40,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,30000,22066,21474,20528,1538,946,6988,22066,0.06969999093628207,-0.01973333333333338,30,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,50,RS,AT_WRITE_TO_CHECKPOINT,5000,4999,4968,4968,31,0,1,4999,0.00620124024804961,-0.006199999999999983,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,50,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,4000,3978,3969,3968,10,1,21,3978,0.002513826043237808,-0.0022500000000000853,40,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,50,PS,AT_WRITE_TO_CHECKPOINT,10000,9736,9643,9586,150,57,207,9736,0.015406737880032868,-0.009299999999999975,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,50,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,8000,7732,7698,7668,64,30,238,7732,0.008277289187790998,-0.004249999999999976,40,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,50,NS,AT_WRITE_TO_CHECKPOINT,50000,38381,35110,33484,4897,1626,9993,38381,0.1275891717255934,-0.06541999999999992,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,50,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,40000,28720,27935,26734,1986,1201,10079,28720,0.06915041782729806,-0.019625000000000004,40,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,60,RS,AT_WRITE_TO_CHECKPOINT,6000,5999,5956,5956,43,0,1,5999,0.007167861310218369,-0.0071666666666666545,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,60,RS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,5000,4968,4957,4955,13,2,30,4968,0.002616747181964573,-0.0022000000000000908,50,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,60,PS,AT_WRITE_TO_CHECKPOINT,12000,11689,11572,11486,203,86,225,11689,0.017366755068868166,-0.009749999999999925,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,60,PS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,10000,9643,9628,9566,77,62,295,9643,0.007985066887897957,-0.0015000000000000568,50,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,60,NS,AT_WRITE_TO_CHECKPOINT,60000,45453,41244,39167,6286,2077,12470,45453,0.13829670208787098,-0.07014999999999993,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,60,NS,PREVIOUS_CHECKPOINT_SAME_OLD_PREFIX,50000,35110,34243,32619,2491,1624,13266,35110,0.07094844773568784,-0.017340000000000022,50,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,70,RS,AT_WRITE_TO_CHECKPOINT,7000,6999,6945,6945,54,0,1,6999,0.007715387912558937,-0.007714285714285785,,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
