source_table,model,method,accepted_edit_count,fork,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min
checkpoint_weight,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,8,frobenius_magnitude,RECORDED,1,6.622774641276924,6.622774641276924,6.622774641276924,6.622774641276924,6.622774641276924,0.0,6.622774641276924,6.622774641276924,6.622774641276924
checkpoint_weight,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,8,frobenius_squared_telemetry,RECORDED,1,43.86114394914069,43.86114394914069,43.86114394914069,43.86114394914069,43.86114394914069,0.0,43.86114394914069,43.86114394914069,43.86114394914069
checkpoint_weight,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,8,relative_update_magnitude,RECORDED,1,0.08426583950653155,0.08426583950653155,0.08426583950653155,0.08426583950653155,0.08426583950653155,0.0,0.08426583950653155,0.08426583950653155,0.08426583950653155
checkpoint_weight,llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,8,update_magnitude_share,RECORDED,1,0.3163155702961415,0.3163155702961415,0.3163155702961415,0.3163155702961415,0.3163155702961415,0.0,0.3163155702961415,0.3163155702961415,0.3163155702961415
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,4,frobenius_magnitude,RECORDED,1,2.93259057469787,2.93259057469787,2.93259057469787,2.93259057469787,2.93259057469787,0.0,2.93259057469787,2.93259057469787,2.93259057469787
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,4,frobenius_squared_telemetry,RECORDED,1,8.600087478806783,8.600087478806783,8.600087478806783,8.600087478806783,8.600087478806783,0.0,8.600087478806783,8.600087478806783,8.600087478806783
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,4,relative_update_magnitude,RECORDED,1,0.0378779347107949,0.0378779347107949,0.0378779347107949,0.0378779347107949,0.0378779347107949,0.0,0.0378779347107949,0.0378779347107949,0.0378779347107949
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,4,update_magnitude_share,RECORDED,1,0.14006577459229275,0.14006577459229275,0.14006577459229275,0.14006577459229275,0.14006577459229275,0.0,0.14006577459229275,0.14006577459229275,0.14006577459229275
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,5,frobenius_magnitude,RECORDED,1,3.0618054211565378,3.0618054211565378,3.0618054211565378,3.0618054211565378,3.0618054211565378,0.0,3.0618054211565378,3.0618054211565378,3.0618054211565378
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,5,frobenius_squared_telemetry,RECORDED,1,9.374652437023563,9.374652437023563,9.374652437023563,9.374652437023563,9.374652437023563,0.0,9.374652437023563,9.374652437023563,9.374652437023563
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,5,relative_update_magnitude,RECORDED,1,0.039371573759640656,0.039371573759640656,0.039371573759640656,0.039371573759640656,0.039371573759640656,0.0,0.039371573759640656,0.039371573759640656,0.039371573759640656
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,5,update_magnitude_share,RECORDED,1,0.14623730692763146,0.14623730692763146,0.14623730692763146,0.14623730692763146,0.14623730692763146,0.0,0.14623730692763146,0.14623730692763146,0.14623730692763146
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,6,frobenius_magnitude,RECORDED,1,3.5995175871457046,3.5995175871457046,3.5995175871457046,3.5995175871457046,3.5995175871457046,0.0,3.5995175871457046,3.5995175871457046,3.5995175871457046
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,6,frobenius_squared_telemetry,RECORDED,1,12.956526860171236,12.956526860171236,12.956526860171236,12.956526860171236,12.956526860171236,0.0,12.956526860171236,12.956526860171236,12.956526860171236
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,6,relative_update_magnitude,RECORDED,1,0.046308246472658764,0.046308246472658764,0.046308246472658764,0.046308246472658764,0.046308246472658764,0.0,0.046308246472658764,0.046308246472658764,0.046308246472658764
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,6,update_magnitude_share,RECORDED,1,0.17191940237142914,0.17191940237142914,0.17191940237142914,0.17191940237142914,0.17191940237142914,0.0,0.17191940237142914,0.17191940237142914,0.17191940237142914
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,7,frobenius_magnitude,RECORDED,1,4.72055060679454,4.72055060679454,4.72055060679454,4.72055060679454,4.72055060679454,0.0,4.72055060679454,4.72055060679454,4.72055060679454
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,7,frobenius_squared_telemetry,RECORDED,1,22.2835980313083,22.2835980313083,22.2835980313083,22.2835980313083,22.2835980313083,0.0,22.2835980313083,22.2835980313083,22.2835980313083
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,7,relative_update_magnitude,RECORDED,1,0.059868870671907055,0.059868870671907055,0.059868870671907055,0.059868870671907055,0.059868870671907055,0.0,0.059868870671907055,0.059868870671907055,0.059868870671907055
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,7,update_magnitude_share,RECORDED,1,0.22546194581250525,0.22546194581250525,0.22546194581250525,0.22546194581250525,0.22546194581250525,0.0,0.22546194581250525,0.22546194581250525,0.22546194581250525
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,8,frobenius_magnitude,RECORDED,1,6.622774641276924,6.622774641276924,6.622774641276924,6.622774641276924,6.622774641276924,0.0,6.622774641276924,6.622774641276924,6.622774641276924
checkpoint_weight,llama3-8b-inst,alphaedit,0,RESET_CACHE,8,frobenius_squared_telemetry,RECORDED,1,43.86114394914069,43.86114394914069,43.86114394914069,43.86114394914069,43.86114394914069,0.0,43.86114394914069,43.86114394914069,43.86114394914069
