batch,scope,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
5,FULL_SEEN,RS,500,500,100.0,500,0,499,500,499,0,506,507,499,0.009324019635194417,0.0011017806245945394,0.0038212628103792673,0.00591835321392864,0.03321390863507955,2.6464111215318553e-05,2.432425022125244,14.637565158843994,14.587064743041992,19.729537773132325,21.323027133941647,24.185130977630607,3.957376003265381,26.14873504638672,14.6282411392088,14.583972623921,19.728278349747416,21.32180465661513,24.183367204202796,1.5249509811401367,26.14858223174815
5,FULL_SEEN,PS,964,1000,96.4,500,0,658,1000,658,9,672,1014,247,1.5808156578014678,0.31878989934921265,5.26027364730835,7.1731027364730835,9.8224383354187,5.566918844124302e-05,13.679856300354004,10.07121271789074,9.838494777679443,15.089775371551514,16.842793655395507,20.210318088531487,0.072545126080513,24.724266052246094,8.490397060089272,8.566239278763533,14.381631062179805,16.460180665609364,19.56057802148163,-9.819523811340332,24.698843471705914
5,FULL_SEEN,NS,4202,5000,84.04,500,0,928,5000,58,928,998,5070,5,9.894318800603903,9.811249732971191,14.710615634918213,16.20214710235596,19.017409057617225,7.30726242181845e-05,24.68032455444336,5.175458032339986,4.770086765289307,10.356501007080082,11.891022682189943,14.873274450302132,0.0006737822550348938,18.80268096923828,4.718860768263917,4.614616058766842,10.813127672672271,12.360266304016116,15.618119860291502,-17.30074823169707,20.14705031365156
10,FULL_SEEN,RS,998,1000,99.8,1000,0,996,1000,996,1,1011,1015,996,0.027483012671682447,0.0011282156920060515,0.004549854015931488,0.007408021530136455,0.07741318531334394,2.2172682292875834e-05,9.114649772644043,14.584891033530235,14.492328643798828,19.978231620788574,21.68204660415649,24.359062461853025,1.3936842679977417,32.713836669921875,14.557408020858553,14.491419397847494,19.977861229188782,21.68145657050481,24.35835217436368,-6.185954213142395,32.71316455543274
10,FULL_SEEN,PS,1942,2000,97.1,1000,0,1341,2000,1341,12,1370,2030,503,1.5436726190294667,0.3024852126836777,5.125006961822513,6.7589451551437305,10.000018997192381,5.6265202147187665e-05,16.6906795501709,10.15203812836483,10.046596050262451,14.9906156539917,16.763717651367188,20.105521335601807,0.07335568219423294,24.70581817626953,8.608365509335364,8.657276693731546,14.38937987163663,16.368882584152743,19.987845773458247,-8.932344913482666,24.685913426801562
10,FULL_SEEN,NS,8056,10000,80.56,1000,0,1820,10000,247,1820,1930,10110,10,9.283679338489794,9.259900569915771,14.148305225372315,15.506478548049923,18.13694366455078,6.48477507638745e-05,24.48125648498535,5.302484329194942,4.854599952697754,10.575318908691408,12.288322019577018,15.086058883666993,0.0007825411157682538,22.646289825439453,3.9811950092948516,4.0229045152664185,10.105278730392456,11.648483600467443,14.9617902154848,-17.753726961331267,19.10924182087183
10,FIRST500,RS,499,500,99.8,500,0,497,500,497,1,504,507,497,0.03389855250702385,0.0011701887124218047,0.00513590257614851,0.009865866228938092,0.07888427443802218,2.7894584491150454e-05,7.579638481140137,14.520558399915695,14.478599548339844,19.648236465454104,21.074492740631104,24.53435617446899,1.3936842679977417,26.22499656677246,14.48665984740867,14.478321560171025,19.64634183548915,21.073455800878584,24.53343781827832,-6.185954213142395,26.224817530441214
10,FIRST500,PS,968,1000,96.8,500,0,671,1000,671,7,685,1014,255,1.5373120941911658,0.3024852126836777,5.028582382202149,6.908472704887389,9.774476718902587,5.6265202147187665e-05,13.399285316467285,10.06449924854189,9.847279071807861,14.988424396514892,16.93303356170654,20.105521335601807,0.07335568219423294,24.70581817626953,8.527187154350726,8.57446974888444,14.377817558543757,16.576885594893245,19.59028952883789,-8.932344913482666,24.685913426801562
10,FIRST500,NS,4011,5000,80.22,500,0,843,5000,118,843,913,5070,2,9.337381876080782,9.260665893554688,14.200369358062744,15.6418354511261,18.642814693450934,6.48477507638745e-05,24.48125648498535,5.408816308824334,4.998444318771362,10.627365970611573,12.328002595901493,15.46715107917786,0.0007825411157682538,22.646289825439453,3.928565567256448,3.953177034854889,10.103870494384319,11.76508641690016,14.96229227613659,-17.753726961331267,19.10924182087183
mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,RS,1000,1000,100.0,1000,0,1000,1000,1000,0,1015,1015,1000,0.0025899902251603634,0.001052548992447555,0.003634028625674547,0.005939393630251288,0.017190130725502954,2.4199192921514623e-05,0.2105371505022049,14.700302049398422,14.608278274536133,20.07449893951416,21.686411952972414,24.354161663055418,3.077969789505005,32.30510330200195,14.697712059173261,14.606207407516195,20.07391976955114,21.685207996852114,24.353492128937503,2.8674326390028,32.30461704634945
10,ACTIVE_TARGET,RS,997,999,99.7997997997998,999,0,996,999,996,1,1011,1014,996,0.023026938429081253,0.0011273226700723171,0.004532445129007101,0.007284129830077279,0.07442924737930293,2.2172682292875834e-05,9.114649772644043,14.594210149647596,14.493931770324707,19.978962326049803,21.685935401916495,24.36068016052246,1.3936842679977417,32.713836669921875,14.571183211218514,14.493253342050593,19.978629989673937,21.685364308633137,24.359970297125397,-6.185954213142395,32.71316455543274
10,SUPERSEDED,RS,1,1,100.0,1,0,0,1,0,0,0,1,0,4.479101181030273,4.479101181030273,4.479101181030273,4.479101181030273,4.479101181030273,4.479101181030273,4.479101181030273,5.275094032287598,5.275094032287598,5.275094032287598,5.275094032287598,5.275094032287598,5.275094032287598,5.275094032287598,0.7959928512573242,0.7959928512573242,0.7959928512573242,0.7959928512573242,0.7959928512573242,0.7959928512573242,0.7959928512573242
10,ACCEPTED_ONLY,RS,998,1000,99.8,1000,0,996,1000,996,1,1011,1015,996,0.027483012671682447,0.0011282156920060515,0.004549854015931488,0.007408021530136455,0.07741318531334394,2.2172682292875834e-05,9.114649772644043,14.584891033530235,14.492328643798828,19.978231620788574,21.68204660415649,24.359062461853025,1.3936842679977417,32.713836669921875,14.557408020858553,14.491419397847494,19.977861229188782,21.68145657050481,24.35835217436368,-6.185954213142395,32.71316455543274
mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,PS,1936,2000,96.8,1000,0,1330,2000,1330,14,1359,2030,497,1.591399845822658,0.3168479800224304,5.188187742233279,7.069120717048643,10.07574741363525,5.900685573578812e-05,16.180601119995117,10.16151873132214,10.06915807723999,15.068123912811279,16.614461803436278,20.069777698516845,0.07310862094163895,24.92885398864746,8.57011888549948,8.66556079685688,14.496430691424761,16.186546982545405,19.934248610539072,-9.809207439422607,24.901216907426715
10,ACTIVE_TARGET,PS,1942,1998,97.1971971971972,999,0,1341,1998,1341,12,1370,2028,503,1.5388008592808373,0.30234746634960175,5.099715423583983,6.750316286087036,10.002673873901363,5.6265202147187665e-05,16.6906795501709,10.15687724466513,10.054294109344482,14.992595100402832,16.76428985595703,20.10695020675659,0.07335568219423294,24.70581817626953,8.618076385384292,8.665393892675638,14.391154550760984,16.369677699403837,19.990182182166023,-8.932344913482666,24.685913426801562
10,SUPERSEDED,PS,0,2,0.0,1,0,0,2,0,0,0,2,0,6.410560607910156,6.410560607910156,7.518594360351562,7.657098579406738,7.767901954650879,5.025518417358398,7.795602798461914,5.317760944366455,5.317760944366455,6.627501010894775,6.791218519210815,6.922192525863648,3.6805858612060547,6.9549360275268555,-1.0927996635437012,-1.0927996635437012,-0.8910933494567871,-0.8658800601959229,-0.8457094287872314,-1.3449325561523438,-0.8406667709350586
10,ACCEPTED_ONLY,PS,1942,2000,97.1,1000,0,1341,2000,1341,12,1370,2030,503,1.5436726190294667,0.3024852126836777,5.125006961822513,6.7589451551437305,10.000018997192381,5.6265202147187665e-05,16.6906795501709,10.15203812836483,10.046596050262451,14.9906156539917,16.763717651367188,20.105521335601807,0.07335568219423294,24.70581817626953,8.608365509335364,8.657276693731546,14.38937987163663,16.368882584152743,19.987845773458247,-8.932344913482666,24.685913426801562
mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,NS,8351,10000,83.51,1000,0,1944,10000,161,1944,2053,10110,14,9.821759150929793,9.773995876312256,14.708355617523194,16.081473541259765,18.7322673034668,6.687417771900073e-05,24.794269561767578,5.1686490492164445,4.716954708099365,10.424765396118167,12.053032064437863,14.879600124359134,0.0008112476789392531,19.360639572143555,4.653110101713349,4.636367857456207,10.801442956924438,12.447561794519421,15.779926554039122,-18.14820659383986,20.285196781158447
10,ACTIVE_TARGET,NS,8049,9990,80.57057057057057,999,0,1820,9990,247,1820,1930,10100,10,9.285989806922966,9.263211250305176,14.149462413787843,15.508750677108761,18.1369612121582,6.48477507638745e-05,24.48125648498535,5.3023064119989245,4.854167222976685,10.575318908691408,12.293562936782829,15.086900787353521,0.0007825411157682538,22.646289825439453,3.9836833949240438,4.029151201248169,10.106395363807678,11.648487586528063,14.962821452952927,-17.753726961331267,19.10924182087183
10,SUPERSEDED,NS,7,10,70.0,1,0,0,10,0,0,0,10,0,6.975521373748779,6.732525825500488,9.345735168457031,9.490645694732665,9.606574115753174,2.5014748573303223,9.6355562210083,5.480223608016968,5.01496696472168,8.937567615509032,9.793402147293088,10.478069772720337,2.236948251724243,10.649236679077148,1.4952977657318116,2.725734233856201,3.5320061445236206,3.708469212055206,3.849639666080475,-2.602123260498047,3.884932279586792
