arm,batch,count,ordinals_sha,excludes_current_facts,received_only
N4,1,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,True,True
N4,2,64,3bcd4a61707cdd5da202b24d0472098771f3f5454c7d32a2e74c1f6855c733ce,True,True
N4,3,64,5b1d84f99ba9eeb318dfce267fd66a7bf03fe10669f1035bd3883b9919e86db3,True,True
N4,4,64,e8c17543b07d532d0e3c4122f3c5626c6f05015291a36d6353bab53bdfaca43c,True,True
N4,5,64,1f93fb0f37937f8ad2d85aa97b2fd54fe9a76f2e07e6054013755d6c4683113e,True,True
N4,6,64,14c3c3ad9b85d860dfd3cfcbe60d9e6e45994e4e8552ef605f1e5408ddb89634,True,True
N4,7,64,8e7ae18d7684446a215d67245f417a22156d848b6d079766f8d13269385c2079,True,True
N4,8,64,5c8b3ae416fe546ef1d3f02084cf7b187d90ce5259686ba637dd5a6f325fd1be,True,True
N4,9,64,193f1b9df846897dab4744fe0dfb51720b58281f18dfed55216dbc24a5d41ab4,True,True
N4,10,64,6182da22f04f8a9c774852fa0daca4cd5dae1d614323b15723c696a592e587dc,True,True
REFIT4,1,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,True,True
REFIT4,2,64,3bcd4a61707cdd5da202b24d0472098771f3f5454c7d32a2e74c1f6855c733ce,True,True
REFIT4,3,64,5b1d84f99ba9eeb318dfce267fd66a7bf03fe10669f1035bd3883b9919e86db3,True,True
REFIT4,4,64,e8c17543b07d532d0e3c4122f3c5626c6f05015291a36d6353bab53bdfaca43c,True,True
REFIT4,5,64,1f93fb0f37937f8ad2d85aa97b2fd54fe9a76f2e07e6054013755d6c4683113e,True,True
REFIT4,6,64,14c3c3ad9b85d860dfd3cfcbe60d9e6e45994e4e8552ef605f1e5408ddb89634,True,True
REFIT4,7,64,8e7ae18d7684446a215d67245f417a22156d848b6d079766f8d13269385c2079,True,True
REFIT4,8,64,5c8b3ae416fe546ef1d3f02084cf7b187d90ce5259686ba637dd5a6f325fd1be,True,True
REFIT4,9,64,193f1b9df846897dab4744fe0dfb51720b58281f18dfed55216dbc24a5d41ab4,True,True
REFIT4,10,64,6182da22f04f8a9c774852fa0daca4cd5dae1d614323b15723c696a592e587dc,True,True
L75,1,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,True,True
L75,2,64,3bcd4a61707cdd5da202b24d0472098771f3f5454c7d32a2e74c1f6855c733ce,True,True
L75,3,64,5b1d84f99ba9eeb318dfce267fd66a7bf03fe10669f1035bd3883b9919e86db3,True,True
L75,4,64,e8c17543b07d532d0e3c4122f3c5626c6f05015291a36d6353bab53bdfaca43c,True,True
L75,5,64,1f93fb0f37937f8ad2d85aa97b2fd54fe9a76f2e07e6054013755d6c4683113e,True,True
L75,6,64,14c3c3ad9b85d860dfd3cfcbe60d9e6e45994e4e8552ef605f1e5408ddb89634,True,True
L75,7,64,8e7ae18d7684446a215d67245f417a22156d848b6d079766f8d13269385c2079,True,True
L75,8,64,5c8b3ae416fe546ef1d3f02084cf7b187d90ce5259686ba637dd5a6f325fd1be,True,True
L75,9,64,193f1b9df846897dab4744fe0dfb51720b58281f18dfed55216dbc24a5d41ab4,True,True
L75,10,64,6182da22f04f8a9c774852fa0daca4cd5dae1d614323b15723c696a592e587dc,True,True
T75,1,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,True,True
T75,2,64,3bcd4a61707cdd5da202b24d0472098771f3f5454c7d32a2e74c1f6855c733ce,True,True
T75,3,64,5b1d84f99ba9eeb318dfce267fd66a7bf03fe10669f1035bd3883b9919e86db3,True,True
T75,4,64,e8c17543b07d532d0e3c4122f3c5626c6f05015291a36d6353bab53bdfaca43c,True,True
