arm,batch,population,metric,group,field,aggregation_unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
N4,51,current,RS,ALL,new_nll,PROMPT,100,0.026668974810672808,0.0013931221910752356,0.0006748840387444943,0.0042547243647277355,0.003579840325983241,0.006594723602756865,0.01496555432677267,0.19543291285635014,2.932505594799295e-05,2.0812087059020996
N4,51,current,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,0.026668974810672808,0.0013931221910752356,0.0006748840387444943,0.0042547243647277355,0.003579840325983241,0.006594723602756865,0.01496555432677267,0.19543291285635014,2.932505594799295e-05,2.0812087059020996
N4,51,current,RS,ALL,true_nll,PROMPT,100,14.25408718109131,14.046898365020752,11.499413251876831,16.46285057067871,4.96343731880188,19.951498985290527,21.14013786315918,22.2813425064087,5.0800395011901855,23.32017707824707
N4,51,current,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,14.25408718109131,14.046898365020752,11.499413251876831,16.46285057067871,4.96343731880188,19.951498985290527,21.14013786315918,22.2813425064087,5.0800395011901855,23.32017707824707
N4,51,current,RS,ALL,desired_margin,PROMPT,100,14.227418206280635,14.046267173747765,11.498853838180366,16.461779017336085,4.962925179155718,19.950037480564788,21.13947051543582,22.279394653871428,4.769098281860352,23.319139780360274
N4,51,current,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,14.227418206280635,14.046267173747765,11.498853838180366,16.461779017336085,4.962925179155718,19.950037480564788,21.13947051543582,22.279394653871428,4.769098281860352,23.319139780360274
N4,51,current,PS,ALL,new_nll,PROMPT,200,1.1944203835295049,0.15750379860401154,0.03397020325064659,1.478140115737915,1.4441699124872684,3.8236852884292576,6.361820340156552,9.00049101829528,0.0007128558354452252,9.980753898620605
N4,51,current,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,1.1944203835295049,0.33055382454767823,0.05642853956669569,1.7071416527032852,1.6507131131365895,3.8048590481281286,4.572114992141723,6.214346513748182,0.0026130429469048977,8.679618120193481
N4,51,current,PS,ALL,true_nll,PROMPT,200,10.573926992416382,10.447765350341797,7.896134734153748,13.051297187805176,5.155162453651428,15.138758945465089,16.33977136611938,20.40692026138305,2.055201530456543,22.599929809570312
N4,51,current,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,10.573926992416382,10.938202381134033,8.235634803771973,12.642068862915039,4.406434059143066,15.333359479904178,16.247933292388915,17.947441329956074,2.4968947172164917,21.85175609588623
