arm,batch,fit_stage,request_ordinal,loss_evaluations,adam_updates,source
N4,51,first_fit,5000,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5001,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5002,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5003,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5004,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5005,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5006,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5007,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5008,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5009,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5010,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5011,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5012,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5013,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5014,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5015,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5016,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5017,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5018,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5019,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5020,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5021,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5022,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5023,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5024,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5025,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5026,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5027,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5028,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5029,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5030,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5031,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5032,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5033,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5034,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5035,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5036,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5037,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5038,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5039,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5040,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5041,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5042,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5043,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5044,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5045,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5046,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5047,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5048,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5049,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5050,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5051,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5052,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5053,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5054,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5055,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5056,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5057,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5058,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5059,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5060,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5061,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5062,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5063,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5064,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5065,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5066,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5067,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5068,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5069,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5070,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5071,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5072,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5073,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5074,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5075,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5076,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5077,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5078,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5079,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5080,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5081,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5082,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5083,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5084,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5085,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5086,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5087,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5088,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5089,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5090,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5091,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5092,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5093,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5094,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5095,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5096,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5097,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5098,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,51,first_fit,5099,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5100,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5101,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5102,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5103,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5104,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5105,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5106,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5107,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5108,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5109,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5110,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5111,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5112,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5113,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5114,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5115,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5116,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5117,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5118,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5119,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5120,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5121,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5122,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5123,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5124,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5125,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5126,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5127,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5128,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5129,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5130,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5131,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5132,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5133,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5134,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5135,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5136,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5137,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5138,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5139,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5140,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5141,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5142,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5143,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5144,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5145,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5146,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5147,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5148,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5149,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5150,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5151,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5152,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5153,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5154,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5155,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5156,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5157,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5158,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5159,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5160,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5161,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5162,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5163,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5164,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5165,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5166,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5167,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5168,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5169,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5170,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5171,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5172,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5173,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5174,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5175,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5176,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5177,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5178,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5179,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5180,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5181,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5182,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5183,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5184,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5185,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5186,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5187,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5188,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5189,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5190,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5191,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5192,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5193,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5194,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5195,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5196,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5197,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5198,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,52,first_fit,5199,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5200,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5201,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5202,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5203,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5204,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5205,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5206,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5207,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5208,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5209,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5210,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5211,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5212,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5213,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5214,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5215,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5216,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5217,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5218,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5219,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5220,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5221,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5222,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5223,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5224,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5225,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5226,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5227,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5228,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5229,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5230,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5231,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5232,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5233,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5234,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5235,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5236,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5237,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5238,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5239,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5240,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5241,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5242,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5243,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5244,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5245,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5246,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5247,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
N4,53,first_fit,5248,25,24,COMPLETED_STDOUT_ORDER_PLUS_PINNED_NATIVE_LOOP
