arm,batch,population,metric,group,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,51,current,RS,ALL,100,100,100,1.0,0,100,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,f25c4b7fc99e44cae74e94023459c9d894a593121838ee26bb6afc7677bded7a,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,3,103,0.02912621359223301
N4,51,current,PS,ALL,200,100,197,0.985,0,97,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,21cdd828d8147c4731c2fc6fe19e6a89cbc8dfbe73184fa002352a3659fef7c6,149,0.745,61,0.61,150,202,0.7425742574257426,0,0.0,0,0.0,6,206,0.02912621359223301
N4,51,current,NS,ALL,1000,100,711,0.711,0,34,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,07331139f19f068331d8924dea234dd57c64ef4a996758976e36fc544835e762,50,0.05,0,0.0,59,1010,0.05841584158415842,101,0.101,0,0.0,131,1030,0.12718446601941746
N4,51,historical,RS,ALL,128,128,128,1.0,0,128,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,4a46b72e59faaabc3052c4ef7c4ce238f9c15c4d2314ff222f161101c7e47ed4,125,0.9765625,125,0.9765625,125,128,0.9765625,0,0.0,0,0.0,0,128,0.0
N4,51,historical,RS,ACTIVE_TARGET,124,124,124,1.0,0,124,42205eaaa54bc134286058569563a5fd3947a246e604d53104f8ec1fa2e7c8c4,150786e9b79536f282a59aac9dbf153d0b81113f16bba40d37a26a340e9fc75e,123,0.9919354838709677,123,0.9919354838709677,123,124,0.9919354838709677,0,0.0,0,0.0,0,124,0.0
N4,51,historical,RS,SUPERSEDED,4,4,4,1.0,0,4,fdb2ce97a1f4c2950b450f0cb6b4295a515aa3c7d6060bbcbe0710517968f895,d595541fc3518759793416c68e211d8383688498b8a6ce23a74c78cc703a317e,2,0.5,2,0.5,2,4,0.5,0,0.0,0,0.0,0,4,0.0
N4,51,historical,RS,UNKNOWN_RELATION,0,0,0,,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,,0,,0,0,,0,,0,,0,0,
N4,51,historical,PS,ALL,256,128,250,0.9765625,0,122,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,86dc807c5d5bdba253543a6ddabcad34fd0500081de7b4724e510f7459f0ee65,175,0.68359375,63,0.4921875,175,256,0.68359375,0,0.0,0,0.0,0,256,0.0
N4,51,historical,PS,ACTIVE_TARGET,248,124,245,0.9879032258064516,0,121,3791f82e104a2ada4b398dc1db2a2264fb0af62a4e4bf6aef0a086422f32f1f0,e8bde470c5f54137d8a527bed7e9c2833ee52eb0574aabbcc0b457ff2570b13c,175,0.7056451612903226,63,0.5080645161290323,175,248,0.7056451612903226,0,0.0,0,0.0,0,248,0.0
N4,51,historical,PS,SUPERSEDED,8,4,5,0.625,0,1,62062e6cb49887f32a1c76fdf17b099924e6047363e07cb4722f9c3296834b1c,c7dc7e8fc447c86c76c7d67edb645c1538021107b3dcdc6054196bcc608154bc,0,0.0,0,0.0,0,8,0.0,0,0.0,0,0.0,0,8,0.0
